title, year, genre, img_path, synopsis
"Shutter Island",2010,"Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BY2NkNTcxNjAtODhjMS00Mjg2LWI1OGItMjRhMGJlODBkZTVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_UX67_CR0,0,67,98_AL_.jpg","In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
"Insidious",2010,"Horror, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further."
"Black Swan",2010,"Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A committed dancer wins the lead role in a production of Tchaikovsky's "Swan Lake" only to find herself struggling to maintain her sanity."
"Adventure Time",2010,"Animation, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MzE1MDI2M15BMl5BanBnXkFtZTgwNzUyODQxMDE@._V1_UY98_CR2,0,67,98_AL_.jpg","A human boy named Finn and adoptive brother and best friend Jake the Dog, protect the citizens of the Land of Ooo from foes of various shapes and sizes."
"Stone",2010,"Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTk4MDIyOF5BMl5BanBnXkFtZTcwMzI3Nzc3Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A convicted arsonist looks to manipulate a parole officer into a plan to secure his parole by placing his beautiful wife in the lawman's path."
"Easy A",2010,"Comedy, Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing."
"Kick-Ass",2010,"Action, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
"Grown Ups",2010,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
"Tangled",2010,"Animation, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UX67_CR0,0,67,98_AL_.jpg","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"TRON: Legacy",2010,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."
"The King's Speech",2010,"Biography, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_UY98_CR0,0,67,98_AL_.jpg","The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it."
"Rizzoli &amp; Isles",2010,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzNzI1MjQ1MV5BMl5BanBnXkFtZTgwNjY2NDY3NTE@._V1_UY98_CR3,0,67,98_AL_.jpg","Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston."
"Young Justice",2010,"Animation, Action, Adventure","https://images-na.ssl-images-amazon.com/images/M/MV5BYjZmODVjMWQtOTMzYS00ZjIwLWJhODQtM2IyMzAyMzYwZDQwXkEyXkFqcGdeQXVyMzIxOTM0ODM@._V1_UY98_CR0,0,67,98_AL_.jpg","Teenage superheroes strive to prove themselves as members of the Justice League."
"Iron Man 2",2010,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
"The Town",2010,"Crime, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNzcxODg3Nl5BMl5BanBnXkFtZTcwMTUyNjQ3Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down."
"All Good Things",2010,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMjIyMTc2Nl5BMl5BanBnXkFtZTcwOTQyMzc5Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed."
