title, year, genre, img_path, synopsis
"Pirates of the Caribbean: On Stranger Tides",2011,"Action, Adventure, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_UX67_CR0,0,67,98_AL_.jpg","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"Captain America: The First Avenger",2011,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a "Super-Soldier serum". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
"Grand Hotel",2011,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BOTk2MjQyNTAzNF5BMl5BanBnXkFtZTgwODI3OTM3MzE@._V1_UY98_CR1,0,67,98_AL_.jpg","A compelling and suspenseful Spanish story of a family-owned hotel set in 1905, which is scene to love, blackmail, jealousies, crime, comedy, plots, counter-plots involving the owners, customers, detectives and its residential employees."
"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
"Contagion",2011,"Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg","Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure."
"The Intouchables",2011,"Biography, Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"Sucker Punch",2011,"Action, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BNDEwNGRlNjQtZjI4OC00ZmMxLWEyYmQtNGI1NDk4YmUyYTNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape."
"The IMDb Studio",2011,"Short","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NTgxNDM4Nl5BMl5BanBnXkFtZTgwNzMzNDg1NDM@._V1_UX67_CR0,0,67,98_AL_.jpg","From Sundance to Comic-Con, The IMDb Studio is stationed at the center of some of the year's biggest entertainment events. Get the scoop on the latest movies and TV shows through exclusive interviews, features, and behind-the-scenes footage."
"Hell on Wheels",2011,"Drama, Western","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5ODQ5Nzc3OF5BMl5BanBnXkFtZTgwOTQzMzM4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg","Cullen Bohannon, a former soldier and slaveholder, follows the track of a band of Union soldiers, the killers of his wife. This brings him to the middle of one of the biggest projects in US...                "
"Bridesmaids",2011,"Comedy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyOTMyMzUxNl5BMl5BanBnXkFtZTcwODI4MzE0NA@@._V1_UX67_CR0,0,67,98_AL_.jpg","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
"X-Men: First Class",2011,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III."
"Warrior",2011,"Drama, Sport","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
"The Darkest Hour",2011,"Action, Adventure, Horror","https://images-na.ssl-images-amazon.com/images/M/MV5BMzZjNGNjZDEtMWMxOC00YTM4LTg4ZWMtOTgxZjY1NWRlM2Y4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg","In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply."
"Source Code",2011,"Mystery, Romance, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MTc3MzMzNV5BMl5BanBnXkFtZTcwNDE4MjE0NA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete."
"Portlandia",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BOGE2ZTQ3YTEtZTU4NC00NGVlLThjNmUtMGVmYjAzNjdjZmQyL2ltYWdlXkEyXkFqcGdeQXVyMzIyMjcyODI@._V1_UX67_CR0,0,67,98_AL_.jpg","A sketch-comedy series that parodies life in Portland, Oregon."
"Midnight in Paris",2011,"Comedy, Fantasy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_UX67_CR0,0,67,98_AL_.jpg","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
"Workaholics",2011,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzQ0MDMyMF5BMl5BanBnXkFtZTgwNTYzMjQ2NzE@._V1_UX67_CR0,0,67,98_AL_.jpg","A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9."
"Green Lantern",2011,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps."
"Unknown",2011,"Action, Mystery, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BODA4NTk3MTQwN15BMl5BanBnXkFtZTcwNjUwMTMxNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
"Just Go with It",2011,"Comedy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MTk3MjE2Nl5BMl5BanBnXkFtZTcwMjE0ODA0NA@@._V1_UY98_CR3,0,67,98_AL_.jpg","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
"No Strings Attached",2011,"Comedy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MDQ1NTEzNl5BMl5BanBnXkFtZTcwOTgxNTMyNA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.""Arrow",2012,"Action, Adventure, Crime","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwOTgyNTQ1M15BMl5BanBnXkFtZTgwNDEyNzM3MzI@._V1_UY98_CR5,0,67,98_AL_.jpg","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
"Scandal",2012,"Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzk3MDQyNl5BMl5BanBnXkFtZTgwNDgxMDkyMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets."
"Chicago Fire",2012,"Action, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNzBiYWVjMjgtMTUzYy00YTFlLWE2OWYtMzY3ZmNmYTE0ODg5XkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UX67_CR0,0,67,98_AL_.jpg","The story of firefighters in Chicago, both on a personal and professional level."
"Longmire",2012,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzIwNzI3M15BMl5BanBnXkFtZTgwODgxMTU5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
"Nashville",2012,"Drama, Music, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEzNDE2Mjg0MTdeQTJeQWpwZ15BbWU4MDUxNTczNzAy._V1_UX67_CR0,0,67,98_AL_.jpg","Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee."
"Call the Midwife",2012,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMjAwNzc1MzVeQTJeQWpwZ15BbWU4MDQzODgzMjEx._V1_UX67_CR0,0,67,98_AL_.jpg","Chronicles the lives of a group of midwives living in East London in the late 1950s to early 1960s."
"Elementary",2012,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMDEyN2U1YTItNDY1Zi00YjljLWI5YzItNWU3YWViYjhiZTgxXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg","A modern take on the cases of Sherlock Holmes, with the detective now living in New York City."
"Comedians in Cars Getting Coffee",2012,"Comedy, Talk-Show","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2OTQ3OTkwMF5BMl5BanBnXkFtZTgwNjAwMzkxOTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way."
"Django Unchained",2012,"Drama, Western","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
"Rita",2012,"Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BOTk2NjAzMzQ1Nl5BMl5BanBnXkFtZTgwNzE1MzgxMDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Following the life of a very outspoken and rebellious woman, Rita is a school teacher who is competent in the classroom, but seems to need a teacher of her own, when it comes to her personal life."
"The Dark Knight Rises",2012,"Action, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
"The Hunger Games",2012,"Adventure, Sci-Fi, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
"The Avengers",2012,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
"Pitch Perfect",2012,"Comedy, Music, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMTMzNzE5N15BMl5BanBnXkFtZTcwNzg5NjM5Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
"Major Crimes",2012,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzA0NTQwMzheQTJeQWpwZ15BbWU3MDMzNzY2MTg@._V1_UX67_CR0,0,67,98_AL_.jpg","The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department."
"Girls",2012,"Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1Mzk2ODEzN15BMl5BanBnXkFtZTgwNDQwMjAxMTI@._V1_UX67_CR0,0,67,98_AL_.jpg","A comedy about the experiences of a group of girls in their early 20s."
"Zero Dark Thirty",2012,"Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
"Les Misérables",2012,"Drama, History, Musical","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
"The Twilight Saga: Breaking Dawn - Part 2",2012,"Adventure, Drama, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
"Veep",2012,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BODUxMDI2Mzc5Nl5BMl5BanBnXkFtZTgwNTQ0OTc2MTI@._V1_UX67_CR0,0,67,98_AL_.jpg","Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about."
"Seven Psychopaths",2012,"Comedy, Crime","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzUxMjc0M15BMl5BanBnXkFtZTcwMzQ2MjYyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
"Line of Duty",2012,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxNTRiNWYtZjMyNS00OTNiLWFjNzMtNWQ3ZDFhYTEyNDEwXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR1,0,67,98_AL_.jpg","DS Steve Arnott is transferred to the police anti-corruption unit after the death of a man in a mistaken shooting during a counter-terrorist operation."
"The Cabin in the Woods",2012,"Fantasy, Horror","https://images-na.ssl-images-amazon.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_UX67_CR0,0,67,98_AL_.jpg","5 friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
"Endeavour",2012,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDQ1NDUwOF5BMl5BanBnXkFtZTgwNzg1MTUzMjE@._V1._CR221,3,1055,1494_UY98_CR1,0,67,98_AL_.jpg","Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford."
"The Hobbit: An Unexpected Journey",2012,"Adventure, Family, Fantasy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
"The Place Beyond the Pines",2012,"Crime, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
"The Perks of Being a Wallflower",2012,"Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","An introvert freshman is taken under the wings of two seniors who welcome him to the real world."
"21 Jump Street",2012,"Action, Comedy, Crime","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
"Skyfall",2012,"Action, Adventure, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg","Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
"The Mindy Project",2012,"Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMTQzMzc0N15BMl5BanBnXkFtZTgwOTcyMDM1MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office."
"Silver Linings Playbook",2012,"Comedy, Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
"The First Time",2012,"Comedy, Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNDI1OTY5NF5BMl5BanBnXkFtZTcwMDExOTY1OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A shy senior and a down-to-earth junior fall in love over one weekend."
"Lincoln",2012,"Biography, Drama, History","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
"Moonrise Kingdom",2012,"Adventure, Comedy, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_UX67_CR0,0,67,98_AL_.jpg","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
"Prometheus",2012,"Adventure, Mystery, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
"Jack Reacher",2012,"Action, Crime, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_UY98_CR0,0,67,98_AL_.jpg","A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims."
"Cloud Atlas",2012,"Action, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
"Baby Daddy",2012,"Comedy, Drama, Family","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1NTExMTMxMl5BMl5BanBnXkFtZTgwMDk0MzYwMTE@._V1_UY98_CR3,0,67,98_AL_.jpg","A 20-something bachelor bartender becomes an unlikely parent when an ex-girlfriend leaves a baby girl on his doorstep."
"Spring Breakers",2012,"Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNDBmYjU3NzAtZGVkNS00N2E3LWEyNTgtMjIwMTczYTE0M2Y4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer."
"The Master",2012,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjQ5MzMwMF5BMl5BanBnXkFtZTcwMjczNTAzOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader."
"Looper",2012,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTA3NTg4NF5BMl5BanBnXkFtZTcwNTA0NDYzOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
"Anna Karenina",2012,"Drama, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky."
"RuPaul's Drag Race All Stars",2012,"Reality-TV","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEzOTgzNzk2NzVeQTJeQWpwZ15BbWU4MDUwMjAyNDQz._V1_UX67_CR0,0,67,98_AL_.jpg","New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale."
"Gravity Falls",2012,"Animation, Adventure, Comedy","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEzNDc3MDQ2NzNeQTJeQWpwZ15BbWU4MDYzMzUwMDIx._V1_UX67_CR0,0,67,98_AL_.jpg","Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls."
"The Newsroom",2012,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEyMzc0ODAwMjVeQTJeQWpwZ15BbWU4MDMxODk4OTIx._V1_UX67_CR0,0,67,98_AL_.jpg","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor."
"Argo",2012,"Biography, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
"The Hunt",2012,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNDM2MzMwMzcxNF5BMl5BanBnXkFtZTcwNTczMDk3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
"The Client List",2012,"Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NzI2NzY1OF5BMl5BanBnXkFtZTcwOTYyMDcwOQ@@._V1_UY98_CR0,0,67,98_AL_.jpg","Riley is a single mother living in a small Texas town and leading a shocking double life."
"Battleship",2012,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.""The Flash",2014,"Action, Adventure, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BZTQzNmEwZTMtZGNkNC00YjQ5LThhYzMtZTBhNzUzODI5ZjRjXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY98_CR5,0,67,98_AL_.jpg","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
"How to Get Away with Murder",2014,"Crime, Drama, Mystery","https://images-na.ssl-images-amazon.com/images/M/MV5BNmRmNGI0NDQtZTUyMS00NzlhLWE0YzMtZmNkZWE5NzZmZjhjXkEyXkFqcGdeQXVyNjI0NDkwNjE@._V1_UX67_CR0,0,67,98_AL_.jpg","A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives."
"Gotham",2014,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BODEyODExMjg0NF5BMl5BanBnXkFtZTgwODgxOTY0MzI@._V1_UY98_CR5,0,67,98_AL_.jpg","The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival."
"The 100",2014,"Drama, Mystery, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BNzI0NzM4Mjk3MV5BMl5BanBnXkFtZTgwNTg0MDQyMTI@._V1_UY98_CR5,0,67,98_AL_.jpg","Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet."
"Fargo",2014,"Crime, Drama, Thriller","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTYxNjkyNl5BMl5BanBnXkFtZTgwNzY1Mjg4MTI@._V1_UY98_CR0,0,67,98_AL_.jpg","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, ND."
"Outlander",2014,"Drama, Fantasy, Romance","https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMDUyMzgyNDVeQTJeQWpwZ15BbWU4MDQ3ODU3ODIy._V1_UX67_CR0,0,67,98_AL_.jpg","An English combat nurse from 1945 is mysteriously swept back in time to 1743."
"Chicago P.D.",2014,"Action, Crime, Drama","https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkYzFmMzctNDMzOS00ZDlkLWIwOGUtYWI1MTkyZDI1MThkXkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UX67_CR0,0,67,98_AL_.jpg","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit."
"The Maze Runner",2014,"Action, Mystery, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_UX67_CR0,0,67,98_AL_.jpg","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow "runners" for a shot at escape."
